Pair,Position,Agreement
Hyperscore vs FragShare,1,56.723044397463006
Hyperscore vs FragShare,2,36.755594713656386
Hyperscore vs FragShare,3,43.42083004398331
Hyperscore vs MS1,1,48.56297242009662
Hyperscore vs MS1,2,34.43388926147293
Hyperscore vs MS1,3,40.34062086801773
Hyperscore vs Prosit,1,46.66737138830162
Hyperscore vs Prosit,2,33.06784702349906
Hyperscore vs Prosit,3,39.14146754070628
FragShare vs MS1,1,58.21013536059889
FragShare vs MS1,2,39.33156459576977
FragShare vs MS1,3,46.18545040212248
FragShare vs Prosit,1,73.2847075405215
FragShare vs Prosit,2,52.419349154549366
FragShare vs Prosit,3,58.27424334268435
MS1 vs Prosit,1,50.32280528675265
MS1 vs Prosit,2,35.65453862083705
MS1 vs Prosit,3,41.67837983948102
