n_psm,pair,n,pearson,spearman
2,HS vs FragShare,345754,0.3773172853117306,0.3543185084883254
2,HS vs MS1,313375,0.14976896387903554,0.3347489766742391
2,FragShare vs MS1,313375,0.19803054449755877,0.36639982368867896
3,HS vs FragShare,270711,0.4092747212236382,0.33683382350319224
3,HS vs MS1,244464,0.13774116360008687,0.3105077551561356
3,FragShare vs MS1,244464,0.23552521520950964,0.3921423775986732
4,HS vs FragShare,154836,0.4176533586329587,0.3441589443322506
4,HS vs MS1,140293,0.13919315345083344,0.31075820616468547
4,FragShare vs MS1,140293,0.24697824524899867,0.4050311105299417
5+,HS vs FragShare,64870,0.421737672023676,0.36693867195009217
5+,HS vs MS1,59441,0.12876826880249953,0.303353305746315
5+,FragShare vs MS1,59441,0.23374327960766003,0.41044449269035366
