metric,n_psm,n_ties,n_total,tie_rate
FragShare,2,1,172877,0.0005784459471184716
FragShare,3,0,90237,0.0
FragShare,4,18,38709,0.046500813764240874
FragShare,5,15,12963,0.11571395510298542
FragShare,6,7,8,87.5
FragShare,7,1,1,100.0
Hyperscore,2,3,172877,0.0017353378413554146
Hyperscore,3,0,90237,0.0
Hyperscore,4,19,38709,0.0490841923066987
Hyperscore,5,14,12963,0.10799969142945307
Hyperscore,6,6,8,75.0
Hyperscore,7,1,1,100.0
MS1,2,0,147125,0.0
MS1,3,0,85649,0.0
MS1,4,18,37414,0.048110333030416425
MS1,5,14,12659,0.1105932538115175
MS1,6,5,8,62.5
MS1,7,1,1,100.0
MS2,2,1,172877,0.0005784459471184716
MS2,3,0,90237,0.0
MS2,4,18,38709,0.046500813764240874
MS2,5,15,12963,0.11571395510298542
MS2,6,7,8,87.5
MS2,7,1,1,100.0
Prosit,2,5,172877,0.0028922297355923575
Prosit,3,0,90237,0.0
Prosit,4,18,38709,0.046500813764240874
Prosit,5,14,12963,0.10799969142945307
Prosit,6,4,8,50.0
Prosit,7,0,1,0.0
